Epic Boon Feat	Boon of Energy Resistance
Epic Boon Feat	Boon of Fortitude
Epic Boon Feat	Boon of Recovery
Epic Boon Feat	Boon of Skill
Epic Boon Feat	Boon of Speed
Fighting Style Feat	Blind Fighting
Fighting Style Feat	Dueling
Fighting Style Feat	Interception
Fighting Style Feat	Protection
Fighting Style Feat	Thrown Weapon Fighting
Fighting Style Feat	Unarmed Fighting
General Feat	Actor
General Feat	Athlete
General Feat	Charger
General Feat	Chef
General Feat	Crossbow Expert
General Feat	Crusher
General Feat	Defensive Duelist
General Feat	Dual Wielder
General Feat	Durable
General Feat	Elemental Adept
General Feat	Fey-Touched
General Feat	Great Weapon Master
General Feat	Heavily Armored
General Feat	Heavy Armor Master
General Feat	Inspiring Leader
General Feat	Keen Mind
General Feat	Lightly Armored
General Feat	Mage Slayer
General Feat	Martial Weapon Training
General Feat	Medium Armor Master
General Feat	Moderately Armored
General Feat	Mounted Combatant
General Feat	Observant
General Feat	Piercer
General Feat	Poisoner
General Feat	Polearm Master
General Feat	Resilient
General Feat	Ritual Caster
General Feat	Sentinel
General Feat	Shadow-Touched
General Feat	Sharpshooter
General Feat	Shield Master
General Feat	Skill Expert
General Feat	Skulker
General Feat	Slasher
General Feat	Speedy
General Feat	Spell Sniper
General Feat	Telekinetic
General Feat	Telepathic
General Feat	War Caster
General Feat	Weapon Master
Origin Feat	Crafter
Origin Feat	Healer
Origin Feat	Lucky
Origin Feat	Musician
Origin Feat	Tavern Brawler
Origin Feat	Tough
