0	Blade Ward
0	Friends
0	Mind Sliver
0	Thorn Whip
0	Thunderclap
0	Toll the Dead
0	Word of Radiance
1	Armor of Agathys
1	Arms of Hadar
1	Compelled Duel
1	Hail of Thorns
1	Thunderous Smite
1	Witch Bolt
1	Wrathful Smite
2	Arcane Vigor
2	Beast Sense
2	Cloud of Daggers
2	Cordon of Arrows
2	Crown of Madness
2	Summon Beast
3	Aura of Vitality
3	Blinding Smite
3	Conjure Barrage
3	Crusader's Mantle
3	Elemental Weapon
3	Feign Death
3	Hunger of Hadar
3	Lightning Arrow
3	Summon Fey
3	Summon Undead
4	Aura of Purity
4	Fount of Moonlight
4	Grasping Vine
4	Staggering Smite
4	Summon Aberration
4	Summon Construct
4	Summon Elemental
5	Banishing Smite
5	Circle of Power
5	Conjure Volley
5	Destructive Wave
5	Jallarzi's Storm of Radiance
5	Steel Wind Strike
5	Summon Celestial
5	Swift Quiver
5	Synaptic Static
5	Yolande's Regal Presence
6	Arcane Gate
6	Summon Fiend
6	Tasha's Bubbling Cauldron
7	Power Word Fortify
8	Telepathy
