2	Acid Arrow
0	Acid Splash
2	Aid
1	Alarm
2	Alter Self
1	Animal Friendship
2	Animal Messenger
8	Animal Shapes
3	Animate Dead
5	Animate Objects
8	Antimagic Field
8	Antipathy/Sympathy
5	Antilife Shell
4	Arcane Eye
5	Arcane Hand
2	Arcane Lock
7	Arcane Sword
2	Arcanist’s Magic Aura
9	Astral Projection
2	Augury
4	Aura of Life
5	Awaken
1	Bane
4	Banishment
2	Barkskin
3	Beacon of Hope
8	Befuddlement
3	Bestow Curse
4	Black Tentacles
6	Blade Barrier
1	Bless
4	Blight
2	Blindness/Deafness
3	Blink
2	Blur
1	Burning Hands
3	Call Lightning
2	Calm Emotions
6	Chain Lightning
4	Charm Monster
1	Charm Person
0	Chill Touch
1	Chromatic Orb
6	Circle of Death
3	Clairvoyance
8	Clone
5	Cloudkill
1	Color Spray
1	Command
5	Commune
5	Commune with Nature
1	Comprehend Languages
4	Compulsion
5	Cone of Cold
4	Confusion
3	Conjure Animals
7	Conjure Celestial
5	Conjure Elemental
6	Conjure Fey
4	Conjure Minor Elementals
4	Conjure Woodland Beings
5	Contact Other Plane
5	Contagion
6	Contingency
2	Continual Flame
4	Control Water
8	Control Weather
3	Counterspell
3	Create Food and Water
1	Create or Destroy Water
6	Create Undead
5	Creation
1	Cure Wounds
0	Dancing Lights
2	Darkness
2	Darkvision
3	Daylight
4	Death Ward
7	Delayed Blast Fireball
8	Demiplane
1	Detect Evil and Good
1	Detect Magic
1	Detect Poison and Disease
2	Detect Thoughts
4	Dimension Door
1	Disguise Self
6	Disintegrate
5	Dispel Evil and Good
3	Dispel Magic
1	Dissonant Whispers
4	Divination
1	Divine Favor
1	Divine Smite
7	Divine Word
4	Dominate Beast
8	Dominate Monster
5	Dominate Person
2	Dragon’s Breath
5	Dream
0	Druidcraft
8	Earthquake
0	Eldritch Blast
0	Elementalism
2	Enhance Ability
2	Enlarge/Reduce
1	Ensnaring Strike
1	Entangle
2	Enthrall
7	Etherealness
1	Expeditious Retreat
6	Eyebite
4	Fabricate
1	Faerie Fire
4	Faithful Hound
1	False Life
