https://arxiv.org/abs/2210.07109	predict the state of the game
https://mcpress.media-commons.org/complextelevision/complexity/	X-Files
https://mcpress.media-commons.org/complextelevision/beginnings/	how to watch
https://www.rockpapershotgun.com/how-hades-plays-with-greek-myths	House
https://www.gamedeveloper.com/design/designing-i-shadow-of-mordor-i-s-nemesis-system	remember
https://blog.dottxt.ai/say-what-you-mean.html	reasoning
https://arxiv.org/abs/2209.14958	formulaic
https://github.com/google-deepmind/dramatron	formulaic
https://arxiv.org/abs/2305.01528	human judgments
https://arxiv.org/abs/2308.07540	creative agency
https://www.dndbeyond.com/sources/dnd/br-2024/magic-items	Magic Items Awarded by Level
https://theangrygm.com/your-mission-is-to-start-an-adventure/	opening scene
https://arxiv.org/abs/2307.03172	multi-document question answering
